Timestamp	ID	Payload	Payload Length	Type	Name
0,249628	173	02  00  00  00  00  00  00  00	8	S	
0,250112	172	00  00  01  00  A1  C3  05  00	8	S	
0,250604	171	00  00  00  00  00  08  00  00	8	S	
0,251083	168	47  00  48  22  FB  FF  02  00	8	S	
0,251567	167	0F  00  00  00  7A  FF  3E  FF	8	S	
0,252051	166	FE  FF  05  00  03  00  00  00	8	S	
0,252534	165	08  02  00  00  00  00  DA  FB	8	S	
0,253034	164	00  00  00  00  00  00  00  00	8	S	
0,253494	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,253998	192	00  00  00  00  01  00  00  00	8	S	
0,258626	173	00  00  00  00  00  00  00  00	8	S	
0,259118	172	00  00  03  00  A4  C3  05  00	8	S	
0,259609	171	00  00  00  00  00  08  00  00	8	S	
0,260085	168	47  00  48  22  FD  FF  05  00	8	S	
0,260565	167	0C  00  00  00  71  FF  3E  FF	8	S	
0,261056	166	00  00  04  00  03  00  00  00	8	S	
0,261536	165	09  02  00  00  00  00  DA  FB	8	S	
0,262036	164	00  00  00  00  00  00  00  00	8	S	
0,262496	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,263000	192	00  00  00  00  01  00  00  00	8	S	
0,263819	192	00  00  00  00  01  00  00  00	8	S	
0,267551	173	02  00  00  00  00  00  00  00	8	S	
0,268047	172	00  00  FF  FF  A7  C3  05  00	8	S	
0,268538	171	00  00  00  00  00  08  00  00	8	S	
0,269014	168	47  00  48  22  02  00  FE  FF	8	S	
0,269494	167	0C  00  00  00  7A  FF  35  FF	8	S	
0,269986	166	00  00  FC  FF  FE  FF  00  00	8	S	
0,270470	165	09  02  00  00  00  00  D9  FB	8	S	
0,270969	164	00  00  00  00  00  00  00  00	8	S	
0,271429	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,271933	192	00  00  00  00  01  00  00  00	8	S	
0,273820	192	00  00  00  00  01  00  00  00	8	S	
0,276708	173	07  00  00  00  00  00  00  00	8	S	
0,277192	172	00  00  00  00  AA  C3  05  00	8	S	
0,277683	171	00  00  00  00  00  08  00  00	8	S	
0,278167	168	47  00  48  22  00  00  00  00	8	S	
0,278655	167	0A  00  00  00  83  FF  4F  FF	8	S	
0,279139	166	F8  FF  F9  FF  FB  FF  00  00	8	S	
0,279622	165	07  02  00  00  00  00  D9  FB	8	S	
0,280122	164	00  00  00  00  00  00  00  00	8	S	
0,280590	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,281093	192	00  00  00  00  01  00  00  00	8	S	
0,283816	192	00  00  00  00  01  00  00  00	8	S	
0,285625	173	02  00  00  00  00  00  00  00	8	S	
0,286104	172	00  00  02  00  AD  C3  05  00	8	S	
0,286596	171	00  00  00  00  00  08  00  00	8	S	
0,287076	168	47  00  48  22  00  00  05  00	8	S	
0,287555	167	0C  00  00  00  71  FF  35  FF	8	S	
0,288043	166	02  00  01  00  02  00  00  00	8	S	
0,288523	165	08  02  00  00  00  00  D9  FB	8	S	
0,289022	164	00  00  00  00  00  00  00  00	8	S	
0,289490	163	EC  01  D8  01  ED  01  EC  01	8	S	
0,289994	192	00  00  00  00  01  00  00  00	8	S	
0,293808	192	00  00  00  00  01  00  00  00	8	S	
0,294620	173	02  00  00  00  00  00  00  00	8	S	
0,295104	172	00  00  00  00  B0  C3  05  00	8	S	
0,295596	171	00  00  00  00  00  08  00  00	8	S	
0,296075	168	47  00  48  22  FE  FF  FF  FF	8	S	
0,296555	167	0C  00  00  00  76  FF  43  FF	8	S	
0,297039	166	FE  FF  01  00  FB  FF  00  00	8	S	
0,297523	165	09  02  00  00  00  00  D9  FB	8	S	
0,298022	164	00  00  00  00  00  00  00  00	8	S	
0,298490	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,298994	192	00  00  00  00  01  00  00  00	8	S	
0,303546	173	02  00  00  00  00  00  00  00	8	S	
0,304022	172	00  00  FA  FF  B3  C3  05  00	8	S	
0,304513	171	00  00  00  00  00  08  00  00	8	S	
0,304985	168	47  00  48  22  02  00  F4  FF	8	S	
0,305465	167	0F  00  00  00  8B  FF  46  FF	8	S	
0,305949	166	FB  FF  F9  FF  F5  FF  00  00	8	S	
0,306428	165	08  02  00  00  00  00  D9  FB	8	S	
0,306928	164	00  00  00  00  00  00  00  00	8	S	
0,307388	163	EC  01  D6  01  EC  01  EC  01	8	S	
0,307892	192	00  00  00  00  01  00  00  00	8	S	
0,308811	192	00  00  00  00  01  00  00  00	8	S	
0,312619	173	02  00  00  00  00  00  00  00	8	S	
0,313103	172	00  00  00  00  B6  C3  05  00	8	S	
0,313595	171	00  00  00  00  00  08  00  00	8	S	
0,314075	168	47  00  48  22  FE  FF  FF  FF	8	S	
0,314574	167	0F  00  00  00  7F  FF  4F  FF	8	S	
0,315058	166	FE  FF  01  00  FE  FF  00  00	8	S	
0,315537	165	08  02  00  00  00  00  D9  FB	8	S	
0,316038	164	00  00  00  00  00  00  00  00	8	S	
0,316497	163	EC  01  D6  01  EC  01  EC  01	8	S	
0,317001	192	00  00  00  00  01  00  00  00	8	S	
0,318809	192	00  00  00  00  01  00  00  00	8	S	
0,321620	173	02  00  00  00  00  00  00  00	8	S	
0,322092	174	10  00  24  18  10  05  13  20	8	S	
0,322572	172	00  00  FD  FF  B9  C3  05  00	8	S	
0,323063	171	00  00  00  00  00  08  00  00	8	S	
0,323547	170	07  00  01  04  01  00  80  00	8	S	
0,324019	169	97  00  FA  00  FB  01  87  04	8	S	
0,324499	168	47  00  48  22  FF  FF  F9  FF	8	S	
0,324978	167	0C  00  00  00  6E  FF  3A  FF	8	S	
0,325470	166	FB  FF  FF  FF  00  00  00  00	8	S	
0,325954	165	09  02  00  00  00  00  D9  FB	8	S	
0,326454	164	00  00  00  00  00  00  00  00	8	S	
0,326921	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,327385	162	F0  D8  F0  D8  B6  01  00  00	8	S	
0,327837	161	26  01  E9  08  E7  08  F0  D8	8	S	
0,328312	160	EE  00  EB  00  EF  00  FB  00	8	S	
0,328816	192	00  00  00  00  01  00  00  00	8	S	
0,329328	192	00  00  00  00  01  00  00  00	8	S	
0,330612	173	04  00  00  00  00  00  00  00	8	S	
0,331092	172	00  00  FF  FF  BC  C3  05  00	8	S	
0,331583	171	00  00  00  00  00  08  00  00	8	S	
0,332055	168	47  00  48  22  02  00  FD  FF	8	S	
0,332535	167	0C  00  00  00  71  FF  3E  FF	8	S	
0,333027	166	00  00  FC  FF  FE  FF  00  00	8	S	
0,333507	165	08  02  00  00  00  00  D9  FB	8	S	
0,334006	164	00  00  00  00  00  00  00  00	8	S	
0,334474	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,334978	192	00  00  00  00  01  00  00  00	8	S	
0,338800	192	00  00  00  00  01  00  00  00	8	S	
0,339700	173	00  00  00  00  00  00  00  00	8	S	
0,340180	172	00  00  05  00  BF  C3  05  00	8	S	
0,340672	171	00  00  00  00  00  08  00  00	8	S	
0,341151	168	47  00  48  22  00  00  0A  00	8	S	
0,341631	167	0A  00  00  00  6E  FF  46  FF	8	S	
0,342119	166	05  00  04  00  08  00  00  00	8	S	
0,342602	165	09  02  00  00  00  00  D9  FB	8	S	
0,343102	164	00  00  00  00  00  00  00  00	8	S	
0,343570	163	EC  01  D8  01  EC  01  EC  01	8	S	
0,344074	192	00  00  00  00  01  00  00  00	8	S	
0,348537	173	00  00  00  00  00  00  00  00	8	S	
0,349018	172	00  00  02  00  C2  C3  05  00	8	S	
0,349509	171	00  00  00  00  00  08  00  00	8	S	
0,349985	168	47  00  48  22  FE  FF  04  00	8	S	
0,350485	167	0F  00  00  00  7F  FF  4F  FF	8	S	
0,350980	166	00  00  04  00  00  00  00  00	8	S	
0,351464	165	09  02  00  00  00  00  D9  FB	8	S	
0,351964	164	00  00  00  00  00  00  00  00	8	S	
0,352432	163	ED  01  D8  01  EC  01  EC  01	8	S	
0,352935	192	00  00  00  00  01  00  00  00	8	S	
0,353803	192	00  00  00  00  01  00  00  00	8	S	
0,357611	173	00  00  00  00  00  00  00  00	8	S	
0,358091	172	00  00  01  00  C5  C3  05  00	8	S	
0,358582	171	00  00  00  00  00  08  00  00	8	S	
0,359058	168	47  00  48  22  FF  FF  02  00	8	S	
0,359538	167	08  00  00  00  71  FF  5C  FF	8	S	
0,360034	166	00  00  01  00  FE  FF  00  00	8	S	
0,360518	165	09  02  00  00  00  00  D9  FB	8	S	
0,361017	164	00  00  00  00  00  00  00  00	8	S	
0,361477	163	ED  01  D9  01  EC  01  EC  01	8	S	
0,361980	192	00  00  00  00  01  00  00  00	8	S	
0,363800	192	00  00  00  00  01  00  00  00	8	S	
0,366608	173	00  00  00  00  00  00  00  00	8	S	
0,367092	172	00  00  01  00  C8  C3  05  00	8	S	
0,367583	171	00  00  00  00  00  08  00  00	8	S	
0,368059	168	47  00  48  22  FF  FF  02  00	8	S	
0,368539	167	0F  00  00  00  76  FF  3A  FF	8	S	
0,369030	166	00  00  01  00  02  00  00  00	8	S	
